assertion_id	source_assertion_registration_id	participant_role	participant_value	participant_source	source_identity_set_id	participant_identity_kind	participant_source_namespace	participant_count	participant_resolution_status
ar_3664b859033acdddc0a78213516582dc0ff31251efedd753ebbe0cce05b8d232	b3a16309ebb767d227d7b1933e342022128b941138ee5da64966a7c4a99a8b9a	gene	source_identity_set:sis_082fa77a30bd1439bda84bd7	source_identity_set_reference	sis_082fa77a30bd1439bda84bd7	gene	vap_gene_symbol	2891	resolved_from_source_identity_set
ar_3664b859033acdddc0a78213516582dc0ff31251efedd753ebbe0cce05b8d232	b3a16309ebb767d227d7b1933e342022128b941138ee5da64966a7c4a99a8b9a	sample	source_identity_set:sis_2f9c6cf6731ee978c5d7c1d8	source_identity_set_reference	sis_2f9c6cf6731ee978c5d7c1d8	sample	vap_sample_id	1	resolved_from_source_identity_set
ar_3664b859033acdddc0a78213516582dc0ff31251efedd753ebbe0cce05b8d232	b3a16309ebb767d227d7b1933e342022128b941138ee5da64966a7c4a99a8b9a	variant	source_identity_set:sis_7293b3134b3e588860e2ff60	source_identity_set_reference	sis_7293b3134b3e588860e2ff60	variant	vap_variant_id	2891	resolved_from_source_identity_set
ar_3f83961510d57e83aaa24ca815526ac409b6f99f99a9200010aca2d0ea0f6151	a11f588287e2858eb96a94ec52f24159e174354de67452664c87e718cb6c89b6	gene	source_identity_set:sis_fc74b4bb3a859756b0c7ed38	source_identity_set_reference	sis_fc74b4bb3a859756b0c7ed38	gene	gsc_ensembl_gene_id	3881	resolved_from_source_identity_set
ar_3f83961510d57e83aaa24ca815526ac409b6f99f99a9200010aca2d0ea0f6151	a11f588287e2858eb96a94ec52f24159e174354de67452664c87e718cb6c89b6	gene_label	source_identity_set:sis_f1838410182aa73d38439e7e	source_identity_set_reference	sis_f1838410182aa73d38439e7e	gene_label	gsc_gene_symbol	3881	resolved_from_source_identity_set
ar_3f83961510d57e83aaa24ca815526ac409b6f99f99a9200010aca2d0ea0f6151	a11f588287e2858eb96a94ec52f24159e174354de67452664c87e718cb6c89b6	phenotype	source_identity_set:sis_f4bb4f490e33b21091b1be0b	source_identity_set_reference	sis_f4bb4f490e33b21091b1be0b	phenotype	gsc_phenotype	3881	resolved_from_source_identity_set
ar_3f83961510d57e83aaa24ca815526ac409b6f99f99a9200010aca2d0ea0f6151	a11f588287e2858eb96a94ec52f24159e174354de67452664c87e718cb6c89b6	provenance	source_identity_set:sis_1898bee5eac62c0592ad49d1	source_identity_set_reference	sis_1898bee5eac62c0592ad49d1	provenance	gsc_provenance_id	3881	resolved_from_source_identity_set
ar_4428bcf1b2766bcaaab80dc8230999e70300d5b16e3002c1b2415d932cbb3349	c8c94902a880f0643e37a2a83e8923087788d8d778e333dfc96d50764e6693ce	gene	source_identity_set:sis_5aeecc72d10b220c03904109	source_identity_set_reference	sis_5aeecc72d10b220c03904109	gene	gsc_ensembl_gene_id	3881	resolved_from_source_identity_set
ar_4428bcf1b2766bcaaab80dc8230999e70300d5b16e3002c1b2415d932cbb3349	c8c94902a880f0643e37a2a83e8923087788d8d778e333dfc96d50764e6693ce	gene_label	source_identity_set:sis_06b2a234031a8bea9cb9561b	source_identity_set_reference	sis_06b2a234031a8bea9cb9561b	gene_label	gsc_gene_symbol	3881	resolved_from_source_identity_set
ar_4428bcf1b2766bcaaab80dc8230999e70300d5b16e3002c1b2415d932cbb3349	c8c94902a880f0643e37a2a83e8923087788d8d778e333dfc96d50764e6693ce	phenotype	source_identity_set:sis_c13e21d51b872f52b172f5fe	source_identity_set_reference	sis_c13e21d51b872f52b172f5fe	phenotype	gsc_phenotype	3881	resolved_from_source_identity_set
ar_495f82e875b3e1e8dc2caa922bca0b272daa4c242d7a62aae15616509ca31d68	94e40ee00afb8be6a1702749b9e2738bbc89d0aeccded46847d46bd0dcdc0047	gene	source_identity_set:sis_21d8e11fd46fc7022ead5a1d	source_identity_set_reference	sis_21d8e11fd46fc7022ead5a1d	gene	vap_ensembl_gene_id	757635	resolved_from_source_identity_set
ar_495f82e875b3e1e8dc2caa922bca0b272daa4c242d7a62aae15616509ca31d68	94e40ee00afb8be6a1702749b9e2738bbc89d0aeccded46847d46bd0dcdc0047	gene	source_identity_set:sis_1eaa98d5905ca27352e80153	source_identity_set_reference	sis_1eaa98d5905ca27352e80153	gene	vap_gene_symbol	757635	resolved_from_source_identity_set
ar_495f82e875b3e1e8dc2caa922bca0b272daa4c242d7a62aae15616509ca31d68	94e40ee00afb8be6a1702749b9e2738bbc89d0aeccded46847d46bd0dcdc0047	sample	source_identity_set:sis_2ae5b4e5f148c1ad4c962800	source_identity_set_reference	sis_2ae5b4e5f148c1ad4c962800	sample	vap_sample_id	1	resolved_from_source_identity_set
ar_495f82e875b3e1e8dc2caa922bca0b272daa4c242d7a62aae15616509ca31d68	94e40ee00afb8be6a1702749b9e2738bbc89d0aeccded46847d46bd0dcdc0047	variant	source_identity_set:sis_02a16349e99b006cc141a581	source_identity_set_reference	sis_02a16349e99b006cc141a581	variant	vap_variant_id	757635	resolved_from_source_identity_set
ar_4a4cc3cb97be1d05a8eff9bac8e9de86b2facf5e755923ad20eac2c503b04ccb	49c9bc64aa004d5dcf1757674b34ed962dc8afdf628929728efd61c732cd513e	gene	source_identity_set:sis_b6f0c32c56d46af2f95fc57c	source_identity_set_reference	sis_b6f0c32c56d46af2f95fc57c	gene	vap_ensembl_gene_id	757635	resolved_from_source_identity_set
ar_4a4cc3cb97be1d05a8eff9bac8e9de86b2facf5e755923ad20eac2c503b04ccb	49c9bc64aa004d5dcf1757674b34ed962dc8afdf628929728efd61c732cd513e	gene	source_identity_set:sis_dbb724d10d73b616ffeb3f55	source_identity_set_reference	sis_dbb724d10d73b616ffeb3f55	gene	vap_gene_symbol	757635	resolved_from_source_identity_set
ar_4a4cc3cb97be1d05a8eff9bac8e9de86b2facf5e755923ad20eac2c503b04ccb	49c9bc64aa004d5dcf1757674b34ed962dc8afdf628929728efd61c732cd513e	sample	source_identity_set:sis_27007fd6392972f4f326f99a	source_identity_set_reference	sis_27007fd6392972f4f326f99a	sample	vap_sample_id	1	resolved_from_source_identity_set
ar_4a4cc3cb97be1d05a8eff9bac8e9de86b2facf5e755923ad20eac2c503b04ccb	49c9bc64aa004d5dcf1757674b34ed962dc8afdf628929728efd61c732cd513e	variant	source_identity_set:sis_8db749f76e9e150bdb2e5cb6	source_identity_set_reference	sis_8db749f76e9e150bdb2e5cb6	variant	vap_variant_id	757635	resolved_from_source_identity_set
ar_4b9cbd2119119255ce053ae1410b87bb7529c784af31c9aee23fb8017df81238	d0c5ccde678cbdcfa7a39085d2e8e4788c5fdb5b9f6fbc1ff575442b89fb1d8d	gene	source_identity_set:sis_3b383febb16fbeed2e289617	source_identity_set_reference	sis_3b383febb16fbeed2e289617	gene	vap_ensembl_gene_id	736468	resolved_from_source_identity_set
ar_4b9cbd2119119255ce053ae1410b87bb7529c784af31c9aee23fb8017df81238	d0c5ccde678cbdcfa7a39085d2e8e4788c5fdb5b9f6fbc1ff575442b89fb1d8d	gene	source_identity_set:sis_be15dddd3ba4f373ec499f52	source_identity_set_reference	sis_be15dddd3ba4f373ec499f52	gene	vap_gene_symbol	736468	resolved_from_source_identity_set
